,MatchID,TeamID,OriginPlayerID,DestinationPlayerID,MatchPeriod,EventTime,EventSubType,EventOrigin_x,EventOrigin_y,EventDestination_x,EventDestination_y,Passing Distence,Forward Distance
1,1,Huskies,Huskies_D1,Huskies_F1,1H,46.323501,Head pass,34,97,59,95,25.07987241,
2,1,Huskies,Huskies_M1,Huskies_F2,1H,51.022546,Simple pass,53,89,69,91,16.1245155,
3,1,Opponent1,Opponent1_D2,Opponent1_G1,1H,89.008721,Simple pass,81,84,95,50,36.76955262,
4,1,Opponent1,Opponent1_G1,Opponent1_F1,1H,92.21616,Launch,95,50,33,56,62.28964601,
5,1,Huskies,Huskies_M2,Huskies_M3,1H,98.265191,Simple pass,42,55,36,54,6.08276253,
6,1,Opponent1,Opponent1_D1,Opponent1_F2,1H,109.025545,Simple pass,70,89,69,78,11.04536102,
7,1,Opponent1,Opponent1_F2,Opponent1_D2,1H,111.025997,Simple pass,69,78,73,77,4.123105626,
8,1,Opponent1,Opponent1_D2,Opponent1_M1,1H,112.856148,High pass,73,77,64,94,19.23538406,
9,1,Huskies,Huskies_D1,Huskies_F1,1H,130.65653,Head pass,34,91,52,97,18.97366596,
10,1,Opponent1,Opponent1_F2,Opponent1_D3,1H,151.85275,Simple pass,52,88,54,44,44.04543109,
11,1,Opponent1,Opponent1_D3,Opponent1_M2,1H,154.636116,Simple pass,54,44,44,32,15.62049935,
12,1,Huskies,Huskies_D1,Huskies_G1,1H,161.22147,Simple pass,14,65,11,50,15.29705854,
13,1,Huskies,Huskies_G1,Huskies_G1,1H,164.626056,Hand pass,11,50,5,45,7.810249676,
14,1,Huskies,Huskies_D1,Huskies_D2,1H,247.469049,Simple pass,17,92,22,62,30.41381265,
15,1,Huskies,Huskies_D2,Huskies_D3,1H,249.694665,Simple pass,22,62,19,24,38.11823711,
16,1,Huskies,Huskies_D3,Huskies_G1,1H,251.513079,Simple pass,19,24,8,45,23.70653918,
17,1,Huskies,Huskies_G1,Huskies_D3,1H,257.295203,Simple pass,8,45,19,13,33.83784863,
18,1,Huskies,Huskies_D3,Huskies_G1,1H,259.614989,Simple pass,19,13,12,38,25.96150997,
19,1,Huskies,Huskies_D2,Huskies_D3,1H,286.49734,Simple pass,48,50,55,24,26.92582404,
20,1,Huskies,Huskies_D3,Huskies_D4,1H,288.281009,Simple pass,55,24,60,5,19.6468827,
21,1,Huskies,Huskies_D4,Huskies_D3,1H,291.122151,Simple pass,60,5,33,21,31.38470965,
22,1,Huskies,Huskies_D3,Huskies_G1,1H,294.666496,Simple pass,33,21,15,70,52.20153254,
23,1,Huskies,Huskies_G1,Huskies_F1,1H,298.519487,High pass,15,70,60,99,53.53503526,
24,1,Opponent1,Opponent1_M1,Opponent1_D1,1H,318.875721,Simple pass,45,88,38,91,7.615773106,
25,1,Huskies,Huskies_D1,Huskies_M3,1H,325.77883,Simple pass,19,98,35,86,20,
26,1,Huskies,Huskies_M3,Huskies_M1,1H,329.565823,Simple pass,35,86,30,97,12.08304597,
27,1,Huskies,Huskies_M2,Huskies_D3,1H,349.651805,Simple pass,47,59,47,27,32,
28,1,Huskies,Huskies_D3,Huskies_M3,1H,352.602839,Simple pass,47,27,45,40,13.15294644,
29,1,Huskies,Huskies_M3,Huskies_D3,1H,354.424746,Simple pass,45,40,47,12,28.0713377,
30,1,Opponent1,Opponent1_D4,Opponent1_M3,1H,380.02212,Simple pass,81,32,73,35,8.544003745,
31,1,Opponent1,Opponent1_M3,Opponent1_D3,1H,380.840808,Simple pass,73,35,73,10,25,
32,1,Huskies,Huskies_G1,Huskies_D1,1H,390.709116,Hand pass,8,55,25,94,42.54409477,
33,1,Huskies,Huskies_D1,Huskies_D2,1H,395.609802,Simple pass,25,94,24,55,39.01281841,
34,1,Huskies,Huskies_D2,Huskies_D3,1H,398.392099,Simple pass,24,55,24,20,35,
35,1,Huskies,Huskies_D3,Huskies_M2,1H,401.473688,Simple pass,24,20,33,20,9,
36,1,Huskies,Huskies_M2,Huskies_M3,1H,402.505899,Simple pass,33,20,33,35,15,
37,1,Huskies,Huskies_M3,Huskies_D3,1H,403.23103,Simple pass,33,35,24,24,14.2126704,
38,1,Huskies,Huskies_D3,Huskies_D2,1H,405.513278,Simple pass,24,24,29,68,44.28317965,
39,1,Huskies,Huskies_D2,Huskies_D1,1H,409.395151,Simple pass,29,68,25,88,20.39607805,
40,1,Huskies,Huskies_D1,Huskies_M1,1H,411.012684,Simple pass,25,88,31,99,12.52996409,
41,1,Huskies,Huskies_M1,Huskies_D1,1H,413.899208,Simple pass,31,99,27,88,11.70469991,
42,1,Huskies,Huskies_D1,Huskies_D2,1H,415.523873,Simple pass,27,88,29,53,35.05709629,
43,1,Huskies,Huskies_D2,Huskies_D3,1H,417.778381,Simple pass,29,53,37,14,39.81205847,
44,1,Huskies,Huskies_D3,Huskies_M2,1H,421.153644,Simple pass,37,14,42,16,5.385164807,
45,1,Huskies,Huskies_M2,Huskies_D2,1H,423.251583,Simple pass,42,16,36,54,38.47076812,
46,1,Huskies,Huskies_D2,Huskies_D1,1H,426.777238,Simple pass,36,54,32,85,31.25699922,
47,1,Huskies,Huskies_D1,Huskies_F2,1H,429.550573,Simple pass,32,85,59,67,32.44996148,
48,1,Opponent1,Opponent1_M3,Opponent1_F2,1H,432.039458,Simple pass,58,70,53,50,20.61552813,
49,1,Opponent1,Opponent1_F2,Opponent1_D3,1H,435.131832,Simple pass,53,50,59,46,7.211102551,
50,1,Opponent1,Opponent1_D3,Opponent1_G1,1H,437.284701,Simple pass,59,46,86,45,27.01851217,
51,1,Opponent1,Opponent1_G1,Opponent1_D3,1H,440.931405,Simple pass,86,45,64,15,37.20215048,
52,1,Opponent1,Opponent1_D3,Opponent1_M3,1H,446.42999,Simple pass,64,15,59,30,15.8113883,
53,1,Opponent1,Opponent1_M3,Opponent1_D2,1H,448.823337,Simple pass,59,30,49,87,57.87054518,
54,1,Opponent1,Opponent1_D2,Opponent1_D1,1H,452.249359,High pass,49,87,16,88,33.01514804,
55,1,Huskies,Huskies_M3,Huskies_D1,1H,470.526751,Simple pass,38,74,23,81,16.55294536,
56,1,Huskies,Huskies_D1,Huskies_D2,1H,472.345004,Simple pass,23,81,33,56,26.92582404,
57,1,Huskies,Huskies_D2,Huskies_D3,1H,475.81912,Simple pass,33,56,31,16,40.04996879,
58,1,Huskies,Huskies_D3,Huskies_D2,1H,478.063252,Simple pass,31,16,35,59,43.18564576,
59,1,Huskies,Huskies_D2,Huskies_M3,1H,483.459683,Simple pass,35,59,37,42,17.11724277,
60,1,Huskies,Huskies_M3,Huskies_D2,1H,486.904146,Simple pass,37,42,41,84,42.19004622,
61,1,Huskies,Huskies_D2,Huskies_M1,1H,488.642046,Simple pass,41,84,49,97,15.26433752,
62,1,Huskies,Huskies_M1,Huskies_D1,1H,492.913649,Simple pass,49,97,40,86,14.2126704,
63,1,Huskies,Huskies_D1,Huskies_D2,1H,495.203497,Simple pass,40,86,43,46,40.11234224,
64,1,Huskies,Huskies_D2,Huskies_D3,1H,499.177369,Simple pass,43,46,44,13,33.01514804,
65,1,Opponent1,Opponent1_F3,Opponent1_F2,1H,504.396917,Simple pass,46,16,45,52,36.01388621,
66,1,Opponent1,Opponent1_F2,Opponent1_M2,1H,506.680864,Simple pass,45,52,45,68,16,
67,1,Opponent1,Opponent1_M2,Opponent1_D1,1H,510.874655,Simple pass,45,68,57,72,12.64911064,
68,1,Opponent1,Opponent1_D1,Opponent1_D2,1H,512.290179,Simple pass,57,72,59,62,10.19803903,
69,1,Opponent1,Opponent1_D2,Opponent1_M3,1H,516.923641,Simple pass,39,48,43,14,34.23448554,
70,1,Opponent1,Opponent1_M3,Opponent1_F3,1H,520.306956,Smart pass,43,14,1,28,44.27188724,
