"","MatchID","TeamID","OriginPlayerID","DestinationPlayerID","MatchPeriod","EventTime","EventType","EventSubType","EventOrigin_x","EventOrigin_y","EventDestination_x","EventDestination_y","Consecutive_pass","index"
"1",1,"Huskies","Huskies_G1","Huskies_D1","1H",390.709116,"Pass","Hand pass",8,55,25,94,-1,104
"2",1,"Huskies","Huskies_D1","Huskies_D2","1H",395.609802,"Pass","Simple pass",25,94,24,55,-1,105
"3",1,"Huskies","Huskies_D2","Huskies_D3","1H",398.392099,"Pass","Simple pass",24,55,24,20,-1,106
"4",1,"Huskies","Huskies_D3","Huskies_M2","1H",401.473688,"Pass","Simple pass",24,20,33,20,-1,107
"5",1,"Huskies","Huskies_M2","Huskies_M3","1H",402.505899,"Pass","Simple pass",33,20,33,35,-1,108
"6",1,"Huskies","Huskies_M3","Huskies_D3","1H",403.23103,"Pass","Simple pass",33,35,24,24,-1,109
"7",1,"Huskies","Huskies_D3","Huskies_D2","1H",405.513278,"Pass","Simple pass",24,24,29,68,-1,110
"8",1,"Huskies","Huskies_D2","Huskies_D1","1H",409.395151,"Pass","Simple pass",29,68,25,88,-1,111
"9",1,"Huskies","Huskies_D1","Huskies_M1","1H",411.012684,"Pass","Simple pass",25,88,31,99,-1,112
"10",1,"Huskies","Huskies_M1","Huskies_D1","1H",413.899208,"Pass","Simple pass",31,99,27,88,-1,113
"11",1,"Huskies","Huskies_D1","Huskies_D2","1H",415.523873,"Pass","Simple pass",27,88,29,53,-1,114
"12",1,"Huskies","Huskies_D2","Huskies_D3","1H",417.778381,"Pass","Simple pass",29,53,37,14,-1,115
"13",1,"Huskies","Huskies_D3","Huskies_M2","1H",421.153644,"Pass","Simple pass",37,14,42,16,-1,116
"14",1,"Huskies","Huskies_M2","Huskies_D2","1H",423.251583,"Pass","Simple pass",42,16,36,54,-1,117
"15",1,"Huskies","Huskies_D2","Huskies_D1","1H",426.777238,"Pass","Simple pass",36,54,32,85,-1,118
"16",1,"Huskies","Huskies_D1","Huskies_F2","1H",429.550573,"Pass","Simple pass",32,85,59,67,16,119
"17",1,"Huskies","Huskies_M3","Huskies_D1","1H",470.526751,"Pass","Simple pass",38,74,23,81,-1,131
"18",1,"Huskies","Huskies_D1","Huskies_D2","1H",472.345004,"Pass","Simple pass",23,81,33,56,-1,132
"19",1,"Huskies","Huskies_D2","Huskies_D3","1H",475.81912,"Pass","Simple pass",33,56,31,16,-1,133
"20",1,"Huskies","Huskies_D3","Huskies_D2","1H",478.063252,"Pass","Simple pass",31,16,35,59,-1,134
"21",1,"Huskies","Huskies_D2","Huskies_M3","1H",483.459683,"Pass","Simple pass",35,59,37,42,-1,135
"22",1,"Huskies","Huskies_M3","Huskies_D2","1H",486.904146,"Pass","Simple pass",37,42,41,84,-1,136
"23",1,"Huskies","Huskies_D2","Huskies_M1","1H",488.642046,"Pass","Simple pass",41,84,49,97,-1,137
"24",1,"Huskies","Huskies_M1","Huskies_D1","1H",492.913649,"Pass","Simple pass",49,97,40,86,-1,138
